code;nompay;capipolipay;capiecopay;superficipay;Contipay;indictelpay
MAR;MAROC;Rabat;;446550;Afrique;212
MUS;MAURICE;Port-Louis;;1979;Afrique;230
MRT;MAURITANIE;Nouakchott;;1030700;Afrique;222
MEX;MEXIQUE;Mexico;;1964375;Amérique;52
MDA;MOLDAVIE;Chisinau;;33847;Europe;373
MCO;MONACO;Monaco;;2;Europe;377
MNG;MONGOLIE;Oulan-Bator;;1564116;Asie;976
MNE;MONTÉNÉGRO;Podgorica;;13888;Europe;382
MSR;MONTSERRAT;Plymouth;;103;Amérique;1664
MOZ;MOZAMBIQUE;Maputo;;799380;Afrique;258
NAM;NAMIBIE;Windhoek;;824116;Afrique;264
NRU;NAURU;Yaren;;21;Océanie;674
NPL;NÉPAL;Katmandou;;147181;Asie;977
NIC;NICARAGUA;Managua;;130373;Amérique;505
NER;NIGER;Niamey;;1267000;Afrique;227
NGA;NIGÉRIA;Abuja;;923768;Afrique;234
NIU;NIUÉ;Alofi;;260;Océanie;683
NOR;NORVÈGE;Oslo;;323772;Europe;47
NZL;NOUVELLE-ZÉLANDE;Wellington;;268107;Océanie;64
OMN;OMAN;Mascate;;309500;Asie;968
UGA;OUGANDA;Kampala;;241550;Afrique;256
UZB;OUZBÉKISTAN;Tachkent;;448969;Asie;7
PAK;PAKISTAN;Islamabad;;796095;Afrique;92
PLW;PALAOS;Melekeok;;459;Océanie;680
PAN;PANAMA;Panama;;75320;Amérique;507
PNG;PAPOUASIE-NOUVELLE-GUINÉE;Port Moresby;;462840;Océanie;675
PRY;PARAGUAY;Asuncion;;406752;Amérique;595
NLD;PAYS-BAS;Amsterdam;;41542;Europe;31
PER;PÉROU;Lima;;1285216;Amérique;51
PHL;PHILIPPINES;Manille;;300000;Asie;63
POL;POLOGNE;Varsovie;;312679;Europe;48
PRI;PORTO RICO;San Juan;;8868;Amérique;
PRT;PORTUGAL;Lisbonne;;92226;Europe;351
QAT;QATAR;Doha;;11637;Asie;974
CAF;RÉPUBLIQUE CENTRAFRICAINE;Bangui;;622984;Afrique;236
COD;RÉPUBLIQUE DÉMOCRATIQUE DU CONGO;Kinshasa;;2344858;Afrique;243
DOM;RÉPUBLIQUE DOMINICAINE;Saint-Domingue;;48671;Amérique;
COG;RÉPUBLIQUE DU CONGO;Brazzaville;;342000;Afrique;242
CZE;RÉPUBLIQUE TCHÈQUE;Prague;;78870;Europe;420
ROU;ROUMANIE;Bucarest;;238391;Europe;40
GBR;ROYAUME-UNI;Londres;;242495;Europe;44
RUS;RUSSIE;Moscou;;17098246;Asie - Europe;7
RWA;RWANDA;Kigali;;26338;Afrique;250
LCA;SAINTE-LUCIE;Castries;;616;Amérique;1758
SMR;SAINT-MARIN;Ville de Saint-Marin;;61;Europe;378
VCT;SAINT-VINCENT-ET-LES-GRENADINES;Kingstown;;389;Amérique;1784
SLV;SALVADOR;San Salvador;;21041;Amérique;503
WSM;SAMOA;Apia;;2842;Océanie;685
ASM;SAMOA AMÉRICAINES;Pago Pago;;199;Océanie;684
STP;SAO TOMÉ-ET-PRINCIPE;Sao Tomé;;964;Afrique;239
SEN;SÉNÉGAL;Dakar;;196712;Afrique;221
SRB;SERBIE;Belgrade;;88499;Europe;381
SYC;SEYCHELLES;Victoria;;457;Afrique;248
SLE;SIERRA LEONE;Freetown;;72300;Afrique;232
SGP;SINGAPOUR;Singapour;;729;Asie;65
SVK;SLOVAQUIE;Bratislava;;49035;Europe;421
SVN;SLOVÉNIE;Ljubljana;;20273;Europe;386
SOM;SOMALIE;Mogadiscio;;637657;Afrique;252
SDN;SOUDAN;Khartoum;;1861484;Afrique;249
LKA;SRI LANKA;Colombo;;65610;Asie;94
SWE;SUÈDE;Stockholm;;438574;Europe;46
CHE;SUISSE;Berne;;41291;Europe;41
SUR;SURINAME;Paramaribo;;163820;Amérique;597
SJM;SVALBARD ET JAN MAYEN;Longyearbyen;;62422;Europe;47
SYR;SYRIE;Damas;;185180;Asie;963
TJK;TADJIKISTAN;Douchanbé;;142600;Asie;992
TZA;TANZANIE;Dodoma;;947303;Afrique;255
TCD;TCHAD;N'Djaména;;1284000;Afrique;235
THA;THAÏLANDE;Bangkok;;513120;Asie;66
TLS;TIMOR ORIENTAL;Dili;;14919;Asie;670
TGO;TOGO;Lomé;;56785;Afrique;228
TON;TONGA;Nuku'alofa;;747;Océanie;676
TTO;TRINITÉ-ET-TOBAGO;Port-d'Espagne;;5127;Amérique;1868
TUN;TUNISIE;Tunis;;163610;Afrique;216
TKM;TURKMÉNISTAN;Achgabat;;488100;Asie;993
TUR;TURQUIE;Ankara;;780004;Asie - Europe;90
TUV;TUVALU;Funafuti;;26;Océanie;688
UKR;UKRAINE;Kiev;;603500;Europe;380
URY;URUGUAY;Montevideo;;173626;Amérique;598
VUT;VANUATU;Port-Vila;;12189;Océanie;678
VAT;VATICAN;Le Vatican;;0;Europe;39
VEN;VENEZUELA;Caracas;;912050;Amérique;58
VNM;VIET NAM;Hanoï;;330967;Asie;84
YEM;YÉMEN;Sanaa;;527968;Asie;967
ZMB;ZAMBIE;Lusaka;;752612;Afrique;260
ZWE;ZIMBABWE;Harare;;390757;Afrique;263
